ID Cliente,Edad,Ingresos Anuales (k$),Puntuación de Gasto (1-100),Categoría de Producto Favorito
1,56,89,47,Libros
2,69,91,86,Hogar
3,46,46,23,Electrónica
4,32,28,66,Libros
5,60,81,27,Electrónica
6,25,56,2,Alimentos
7,38,116,90,Electrónica
8,56,70,17,Electrónica
9,36,63,33,Electrónica
10,40,43,9,Hogar
11,28,98,43,Electrónica
12,28,78,48,Libros
13,41,51,39,Alimentos
14,53,115,93,Alimentos
15,57,107,42,Electrónica
16,41,71,26,Hogar
17,20,81,99,Hogar
18,39,77,50,Libros
19,19,71,25,Electrónica
20,41,31,24,Alimentos
21,61,58,13,Hogar
22,47,21,60,Electrónica
23,55,22,7,Hogar
24,19,75,57,Hogar
25,38,100,36,Alimentos
26,50,78,45,Ropa
27,29,21,20,Libros
28,39,21,65,Libros
29,61,111,8,Alimentos
30,42,73,16,Hogar
31,66,106,14,Electrónica
32,44,115,76,Hogar
33,59,116,87,Alimentos
34,45,20,15,Libros
35,33,38,92,Hogar
36,32,21,98,Libros
37,64,72,66,Electrónica
38,68,63,32,Libros
39,61,109,87,Libros
40,69,51,63,Ropa
41,20,89,86,Ropa
42,54,51,51,Ropa
43,68,87,25,Libros
44,24,74,58,Alimentos
45,38,94,63,Libros
46,26,75,62,Alimentos
47,56,36,22,Alimentos
48,35,57,58,Ropa
49,21,43,58,Hogar
50,42,88,86,Electrónica
51,31,117,49,Ropa
52,67,89,52,Ropa
53,26,105,42,Hogar
54,43,30,70,Electrónica
55,19,35,15,Libros
56,37,116,54,Libros
57,45,92,60,Ropa
58,64,78,97,Electrónica
59,24,89,8,Ropa
60,61,99,53,Alimentos
61,25,112,60,Ropa
62,64,22,5,Ropa
63,52,39,68,Libros
64,31,78,6,Libros
65,34,55,96,Libros
66,53,38,94,Alimentos
67,67,109,47,Libros
68,57,86,99,Electrónica
69,21,38,55,Hogar
70,19,39,40,Electrónica
71,23,115,52,Electrónica
72,59,90,16,Libros
73,21,71,13,Hogar
74,46,52,30,Hogar
75,35,59,19,Hogar
76,43,58,17,Alimentos
77,61,101,63,Libros
78,51,20,19,Hogar
79,27,30,92,Alimentos
80,53,111,58,Ropa
81,31,76,55,Ropa
82,48,108,90,Alimentos
83,65,69,90,Alimentos
84,32,42,62,Libros
85,25,50,23,Libros
86,31,113,9,Ropa
87,40,61,12,Hogar
88,57,118,1,Ropa
89,38,26,58,Hogar
90,33,35,1,Hogar
91,62,109,34,Libros
92,35,79,96,Electrónica
93,64,21,48,Electrónica
94,41,20,89,Alimentos
95,43,67,1,Libros
96,42,31,16,Hogar
97,62,88,61,Electrónica
98,58,56,64,Hogar
99,46,51,63,Electrónica
100,32,28,69,Electrónica
101,62,118,22,Electrónica
102,18,38,93,Libros
103,42,67,67,Ropa
104,24,99,76,Hogar
105,26,22,26,Libros
106,41,39,16,Libros
107,18,43,51,Libros
108,61,73,86,Libros
109,25,52,57,Libros
110,41,43,29,Alimentos
111,28,94,78,Hogar
112,68,91,92,Libros
113,34,55,69,Hogar
114,25,57,47,Alimentos
115,52,103,94,Alimentos
116,52,118,62,Hogar
117,50,108,69,Electrónica
118,22,118,76,Ropa
119,59,44,16,Electrónica
120,56,112,90,Electrónica
121,58,37,90,Electrónica
122,45,101,48,Libros
123,24,85,85,Alimentos
124,26,73,39,Electrónica
125,25,54,33,Alimentos
126,29,99,94,Hogar
127,51,80,23,Ropa
128,50,60,10,Hogar
129,65,119,69,Hogar
130,40,52,34,Libros
131,41,87,52,Ropa
132,54,52,95,Hogar
133,52,33,10,Hogar
134,61,40,19,Ropa
135,57,67,58,Ropa
136,39,39,96,Hogar
137,44,27,1,Ropa
138,52,26,69,Hogar
139,18,86,4,Hogar
140,52,36,16,Libros
141,54,52,24,Electrónica
142,64,67,80,Hogar
143,31,95,2,Alimentos
144,20,78,92,Electrónica
145,18,105,32,Electrónica
146,22,41,91,Electrónica
147,43,49,84,Libros
148,31,57,24,Hogar
149,56,70,12,Libros
150,44,73,50,Hogar
151,26,27,35,Libros
152,32,46,33,Libros
153,32,46,33,Alimentos
154,43,117,61,Libros
155,59,40,51,Ropa
156,30,49,43,Alimentos
157,68,116,12,Libros
158,49,47,67,Electrónica
159,56,83,65,Ropa
160,66,116,33,Ropa
161,69,88,40,Ropa
162,49,80,74,Alimentos
163,21,67,43,Libros
164,47,38,44,Libros
165,54,23,29,Electrónica
166,40,54,13,Electrónica
167,56,83,12,Ropa
168,62,68,95,Electrónica
169,32,36,46,Alimentos
170,60,63,2,Libros
171,46,111,35,Ropa
172,53,49,87,Electrónica
173,30,112,81,Alimentos
174,49,65,90,Alimentos
175,24,25,8,Electrónica
176,68,118,93,Libros
177,39,56,26,Electrónica
178,45,43,74,Ropa
179,19,112,90,Electrónica
180,59,65,34,Alimentos
181,62,72,7,Electrónica
182,23,114,68,Libros
183,45,118,58,Hogar
184,45,79,75,Electrónica
185,61,116,29,Libros
186,61,82,36,Libros
187,37,104,89,Alimentos
188,47,51,21,Libros
189,28,106,36,Libros
190,45,52,10,Libros
191,42,86,73,Libros
192,56,37,24,Ropa
193,50,44,64,Ropa
194,18,114,99,Alimentos
195,44,73,49,Electrónica
196,69,77,99,Libros
197,30,86,36,Electrónica
198,58,65,82,Electrónica
199,20,43,96,Alimentos
200,56,51,24,Libros
